Column1,Column2,Column3,Column4,Column5,Column6
Category,Product Name,SKU,Price (GBP),Description,Brand
Switches & Sockets,British General 900 Series 13A 2-Gang SP Switched Plug Sockets White 5 Pack,48563,12.69,"Raised Square Profile, Screwed Faceplate, Requires 25mm Back Box",British General
Switches & Sockets,Knightsbridge 13A 2-Gang DP Switched Double Socket Brushed Chrome,138TX,7.49,"Raised Rounded Profile, Screwed Faceplate, Requires 25mm Back Box",Knightsbridge
Switches & Sockets,Knightsbridge 13A 2-Gang DP Switched Double Socket Antique Brass,591TX,9.19,"Raised Square Profile, Screwed Faceplate, Requires 25mm Back Box",Knightsbridge
Switches & Sockets,LAP 13A 2-Gang DP Switched Plug Sockets White 5 Pack,49620,12.49,"Raised Slim Profile, Screwed Faceplate, Requires 25mm Back Box",LAP
Switches & Sockets,LAP 13A 2-Gang SP Switched Socket + 3.1A USB Charger White,4087P,7.99,"Raised Slim Profile, Screwed Faceplate, Requires 25mm Back Box, 2x USB Type A",LAP
Switches & Sockets,LAP 13A 2-Gang SP Switched Plug Socket White,71441,2.39,"Raised Slim Profile, Screwed Faceplate, Requires 25mm Back Box",LAP
Switches & Sockets,MK Logic Plus 13A 2-Gang DP Switched Plug Socket White,15747,4.99,"Raised Slim Profile, Screwed Faceplate, Requires 25mm Back Box",MK
Switches & Sockets,LAP 1-Gang Blanking Plate White,65793,0.60,"Raised Slim Profile, Screwed Faceplate",LAP
Switches & Sockets,LAP 13A 1-Gang SP Switched Plug Socket White,32767,1.99,"Raised Slim Profile, Screwed Faceplate, Requires 25mm Back Box",LAP
Switches & Sockets,LAP 13A Switched Fused Spur White,29377,4.19,"Raised Slim Profile, Screwed Faceplate, Requires 25mm Back Box",LAP
Switches & Sockets,MK Logic Plus 10AX 1-Gang 2-Way Light Switch White,11822,2.99,"Raised Slim Profile, Screwed Faceplate, Requires 16mm Back Box",MK
Switches & Sockets,MK Logic Plus 13A 2-Gang DP Switched Plug Sockets White 5 Pack,8458R,23.95,"Raised Slim Profile, Screwed Faceplate, Requires 25mm Back Box",MK
Switches & Sockets,Essentials 13A 2-Gang SP Switched Plug Socket White,4338D,1.65,"Raised Square Profile, Screwed Faceplate, Requires 25mm Back Box",Essentials
Switches & Sockets,British General 6A 1-Way Pull Cord Switch White,88475,3.99,"Raised Square Profile, Screw Terminals, Without Indicator",British General
Back Boxes,Tower 2-Gang Dry Lining Box 35mm,321AV,1.12,"Adjustable Lugs, Top/Bottom/Rear Knockouts, Quick & Easy Installation",Tower
Back Boxes,Tower 1-Gang Dry Lining Box 35mm,231AV,0.79,"Adjustable Lugs, Top/Bottom/Rear Knockouts, Quick & Easy Installation",Tower
Back Boxes,Tower 2-Gang Galvanised Steel Knockout Back Box 25mm,360AW,0.69,"Adjustable Lugs, Top/Bottom/Side/Rear Knockouts, Galvanised Steel",Tower
Back Boxes,Tower 2-Gang Galvanised Steel Knockout Back Box 35mm,607AW,0.76,"Adjustable Lugs, Top/Bottom/Side/Rear Knockouts, Galvanised Steel",Tower
Back Boxes,LAP 2-Gang Galvanised Steel Installation Boxes 25mm 10 Pack,44706,7.09,"Adjustable Lugs, Side & Base Knockouts",LAP
Back Boxes,Essentials 2-Gang Surface Pattress Back Box 32mm,8179D,1.39,"Fixed Lugs, Side & Base Knockouts",Essentials
Back Boxes,Deta TTE 1-Gang Surface Pattress Box 32mm,142VT,1.79,"Fixed Lugs, Top/Bottom/Rear Knockouts, Robust",Deta TTE
Back Boxes,Deta TTE 2-Gang Surface Pattress Box 32mm,437VT,2.29,"Fixed Lugs, Top/Bottom/Rear Knockouts, Robust",Deta TTE
Back Boxes,Essentials 1-Gang Surface Pattress Back Box 47mm,4411D,1.69,"Fixed Lugs, Side & Base Knockouts",Essentials
Back Boxes,Appleby 2-Gang Dry Lining Knockout Box 35mm,36960,1.18,"Adjustable Lugs, Top/Bottom/Rear Knockouts",Appleby
Back Boxes,Tower 1-Gang Galvanised Steel Knockout Back Box 35mm,858AW,0.59,"Adjustable Lugs, Top/Bottom/Side/Rear Knockouts, Galvanised Steel",Tower
Back Boxes,LAP 2-Gang Surface Pattress Back Boxes 32mm 5 Pack,46005,6.99,"Fixed Lugs, Rear Knockouts",LAP
Back Boxes,Tower 1-Gang Galvanised Steel Knockout Back Box 25mm,449AW,0.48,"Adjustable Lugs, Top/Bottom/Side/Rear Knockouts, Galvanised Steel",Tower
Back Boxes,Appleby 1-Gang Dry Lining Knockout Box 35mm,44827,0.83,"Adjustable Lugs, Top/Bottom/Rear Knockouts",Appleby
Back Boxes,LAP 2-Gang Galvanised Steel Installation Boxes 35mm 10 Pack,88287,7.99,"Adjustable Lugs, Side & Base Knockouts",LAP
