Product Name,Category,Price (INC VAT),BTU/Power Output,Type/Material,Product Code
Flomasta 600mm x 1200mm White Type 22 Convector Radiator,Central Heating Radiators,£73.00 ,6998BTU 2051W,Double-Panel,612XP
Flomasta 600mm x 1000mm White Type 22 Convector Radiator,Central Heating Radiators,£63.00 ,5832BTU 1709W,Double-Panel,813XP
Flomasta 600mm x 800mm White Type 22 Convector Radiator,Central Heating Radiators,£56.00 ,4666BTU 1367W,Double-Panel,333XP
Flomasta 600mm x 600mm White Type 22 Convector Radiator,Central Heating Radiators,£42.99 ,3499BTU 1026W,Double-Panel,536XP
Flomasta 600mm x 1000mm White Type 21 Convector Radiator,Central Heating Radiators,£59.00 ,4560BTU 1336W,Double-Panel Plus,390XP
Flomasta 600mm x 1200mm White Type 11 Convector Radiator,Central Heating Radiators,£59.98 ,3893BTU 1141W,Single-Panel,515XP
Acova 600mm x 1042mm White Horizontal 2 Column Radiator,Central Heating Radiators,£198.00 ,3400BTU 997W,Column,68163
Acova 600mm x 812mm White Horizontal 3 Column Radiator,Central Heating Radiators,£170.10 ,3532BTU 1035W,Column,39035
Flomasta 600mm x 1415mm White Horizontal 2 Column Radiator,Central Heating Radiators,£199.99 ,4978BTU 1460W,Column,509AH
Acova 600mm x 1226mm White Horizontal 3 Column Radiator,Central Heating Radiators,£336.60 ,5403BTU 1583W,Column,46334
Flomasta 1800mm x 608mm White Vertical Designer Radiator,Central Heating Radiators,£209.99 ,6298BTU 1847W,Designer,357CE
Flomasta 1800mm x 608mm Anthracite Vertical Designer Radiator,Central Heating Radiators,£209.99 ,6298BTU 1847W,Designer,259CE
Kudox AluLite Flat 1800mm x 470mm White Vertical Designer Radiator,Central Heating Radiators,£239.98 ,3897BTU 1142W,Aluminium Designer,215FH
Flomasta 1800mm x 600mm Anthracite Vertical Designer Radiator,Central Heating Radiators,£134.99 ,4174BTU 1224W,Designer,814CE
Flomasta 1200mm x 500mm Chrome Flat Towel Radiator,Towel Radiators,£59.98 ,1228BTU 360W,Gloss Mild Steel,378TF
Flomasta 1200mm x 600mm Chrome Flat Towel Radiator,Towel Radiators,£69.99 ,1415BTU 415W,Gloss Mild Steel,660RY
Flomasta 1600mm x 600mm Chrome Flat Towel Radiator,Towel Radiators,£76.99 ,1889BTU 554W,Gloss Mild Steel,550TF
Flomasta 700mm x 400mm Chrome Flat Electric Towel Radiator,Towel Radiators,£84.99 ,511BTU 150W,Electric/Chrome,480HC
Flomasta 600mm x 600mm White Type 11 Convector Radiator,Central Heating Radiators,£27.00 ,1946BTU 570W,Single-Panel,579XP
Flomasta 600mm x 1000mm White Type 11 Convector Radiator,Central Heating Radiators,£55.00 ,3244BTU 951W,Single-Panel,285XP
Wednesbury Copper Pipe 15mm x 3m,Plumbing Supplies,£13.88 ,N/A,Copper,98683
Wednesbury Copper Pipe 15mm x 2m,Plumbing Supplies,£9.38 ,N/A,Copper,42302
Wednesbury Copper Pipe 22mm x 3m,Plumbing Supplies,£28.00 ,N/A,Copper,77741
Wednesbury Copper Pipes 15mm x 3m 10 Pack,Plumbing Supplies,£134.00 ,N/A,Copper,17948
Wednesbury Copper Pipe 22mm x 2m,Plumbing Supplies,£18.98 ,N/A,Copper,58277
"Flomasta 1/2"" x 15mm White/Silver Modern Thermostatic Radiator Valve",Radiator Valves,£16.98 ,N/A,Thermostatic Valve,602HN
