Product Name,Product URL,Price (£)
Wickes Madison White Base Unit - 1000mm,/p/122729,205
Wickes Ohio Navy Shaker Base Unit - 1000mm,/p/249936,142 (was 160)
Wickes Ohio Reed Green Shaker Base Unit - 1000mm,/p/308919,142 (was 160)
Wickes Ohio Stone Shaker Decor Panel Base - 18mm,/p/307276,59
Wickes Madison Dark Grey Base Unit - 1000mm,/p/304893,205
Wickes Ohio Stone Shaker Base Unit - 1000mm,/p/307237,142 (was 160)
Wickes Ohio Navy Shaker Decorative Base Panel - 18mm,/p/250016,59
Wickes Ohio Porcelain Shaker Base Unit - 1000mm,/p/308964,142 (was 160)
Wickes Ohio Stone Shaker Continuous Plinth - 2.6m,/p/307279,34
Wickes Ohio Navy Shaker Drawer Unit - 600mm,/p/249948,218 (was 242)
Wickes Madison White Base Unit - 600mm,/p/122733,123
Wickes Ohio Grey Shaker Decor Base Panel - 18mm,/p/307141,59
Wickes Ohio Navy Shaker Wall Unit - 1000mm,/p/249957,132 (was 147)
Wickes Orlando White Slab Wall Unit - 1000mm,/p/122844,165
Wickes Madison Dark Grey Wall Unit - 1000mm,/p/304895,193
Wickes Ohio Navy Shaker Drawer Unit - 500mm,/p/249947,180 (was 221)
Wickes Madison White Wall Unit - 600mm,/p/122752,113
Wickes Ohio Stone Shaker Base Unit - 600mm,/p/307262,103 (was 114)
Wickes Ohio Dusky Pink Shaker Base Unit - 1000mm,/p/308874,142 (was 160)
Wickes Madison Dark Grey Gloss Continuous Plinth - 2.6m,/p/304934,36
Wickes Madison White Drawer Unit - 500mm,/p/122740,232
Wickes Madison White Wall Unit - 1000mm,/p/122748,193
Wickes Ohio Porcelain Shaker Base Unit - 800mm,/p/308997,135 (was 150)
Wickes Orlando White Slab Base Unit - 1000mm,/p/122825,178
Wickes Ohio Reed Green 18mm Decor Base End,/p/308958,59
Wickes Ohio Navy Reversible Continuous Plinth - 2.6m,/p/250015,34
Wickes Ohio Navy Wall Unit - 800mm,/p/276588,125 (was 139)
Wickes Ohio Navy Shaker Base Unit - 500mm,/p/249939,86 (was 99)
Wickes Ohio Porcelain - 2.6m Plinth,/p/309006,34
Wickes Ohio Forest Green Shaker Base Unit - 1000mm,/p/309009,142 (was 160)
Wickes Ohio Porcelain Shaker Wall Unit - 800mm,/p/308999,125 (was 139)
Wickes Ohio Grey Shaker Wall Unit - 1000mm,/p/307104,132 (was 147)
Wickes Ohio Navy Shaker Wall Unit - 600mm,/p/249961,94 (was 104)
Wickes Orlando White Slab Wall Unit - 800mm,/p/275747,147
Wickes Ohio Stone Shaker Wall Unit - 1000mm,/p/307239,132 (was 147)
Wickes Ohio Navy Shaker Decorative Wall End Panel - 18mm,/p/250018,44
Wickes Ohio Porcelain Shaker Base Unit - 600mm,/p/308989,103 (was 114)
Wickes Ohio Reed Green Shaker Drawer Unit - 900mm,/p/308955,297 (was 330)
Wickes Ohio Reed Green Shaker Wall Unit - 1000mm,/p/308921,132 (was 147)
Wickes Ohio Navy Shaker Base Unit - 600mm,/p/249940,103 (was 114)
Wickes Ohio Stone Shaker Decor Tall Panel - 18mm,/p/307277,82
Wickes Ohio Navy Shaker Corner Base Unit - 1000mm,/p/249942,193 (was 214)
Wickes Ohio Navy Shaker Decorative Tall End Panel - 18mm,/p/250017,82
Wickes Ohio Stone Shaker Corner Base Unit - 925mm,/p/307275,227 (was 252)
Wickes Ohio Grey Shaker Drawer Unit - 500mm,/p/307115,180 (was 221)
Wickes Ohio Navy L-Shape Corner Wall Unit - 625mm,/p/284422,204 (was 227)
Wickes Madison Matt White Drawer Unit - 500mm,/p/331930,232
Wickes Madison White Base Unit - 800mm,/p/276543,195
Wickes Ohio Stone Shaker Decor Wall Panel - 18mm,/p/307278,44
Wickes Madison Marine Blue Base Decor End - 18mm,/p/305387,61
Wickes Madison White Wall Unit - 500mm,/p/122751,107
Wickes Ohio Grey Shaker Decor Wall Panel - 18mm,/p/307143,44
Wickes Ohio Porcelain Shaker Wall Unit - 1000mm,/p/308966,132 (was 147)
Wickes Ohio Porcelain 18mm Decor Base End,/p/309003,59
Wickes Orlando White Slab Wall Unit - 500mm,/p/122847,99
Wickes Ohio Reed Green Shaker Drawer Unit - 500mm,/p/308932,180 (was 221)
Wickes Madison Matt White Decorative Base Panel - 18mm,/p/307503,61
Wickes Madison White Base Unit - 500mm,/p/122732,114
Wickes Orlando Reed Green Base Decor End - 18mm,/p/307408,61
Wickes Madison White Corner Base Unit - 1000mm,/p/122735,225
Wickes Orlando White Slab Base Unit - 600mm,/p/122829,114
Wickes Ohio Stone Shaker Bridging Unit - 600mm,/p/307267,85 (was 94)
Wickes Orlando White Slab Base Unit - 800mm,/p/275746,158
Wickes Orlando Reed Green Wall Decor End - 18mm,/p/307410,43
Wickes Ohio Stone Shaker Drawer Unit - 600mm,/p/307253,218 (was 242)
Wickes Madison White Wall Unit - 400mm,/p/122750,103
Wickes Ohio Porcelain Shaker Wall Unit - 600mm,/p/308993,94 (was 104)
Wickes Ohio Grey Shaker Base Unit - 600mm,/p/307127,103 (was 114)
Wickes Madison Blue 3 Drawer Base Unit - 900mm,/p/331912,343
Wickes Orlando White Slab Base Unit - 500mm,/p/122828,106
Wickes Madison Dark Grey Wall Unit - 600mm,/p/304921,113
Wickes Madison Matt White Continuous Plinth - 2.6m,/p/307506,36
Wickes Ohio Grey Wall Unit - 800mm,/p/307137,125 (was 139)
Wickes Ohio Navy Shaker Corner Base Unit - 925mm,/p/249943,227 (was 252)
Wickes Ohio Stone Wall Unit - 800mm,/p/307272,125 (was 139)
Wickes Orlando Reed Green Wall Unit - 500mm,/p/307385,99
Wickes Ohio Porcelain Shaker Drawer Unit - 500mm,/p/308977,180 (was 221)
Wickes Madison Dark Grey Base Unit - 600mm,/p/304917,123
Wickes Ohio Grey Reversible Continuous Plinth - 2.6m,/p/307144,34
Wickes Ohio Stone Shaker Drawer Unit - 500mm,/p/307250,180 (was 221)
Wickes Ohio Porcelain Shaker Base Unit - 300mm,/p/308970,82 (was 91)
Wickes Madison Dark Grey Gloss Decorative Base Panel - 18mm,/p/304931,61
Wickes Ohio Porcelain Shaker Base Unit - 400mm,/p/308972,86 (was 95)
Wickes Ohio Navy Shaker Wall Unit - 500mm,/p/249960,82 (was 91)
Wickes Orlando Reed Green Drawer Unit - 500mm,/p/307383,227
Wickes Ohio Stone Shaker Base Unit - 400mm,/p/307245,86 (was 95)
Wickes Ohio Navy Shaker Wall Unit - 300mm,/p/249958,67 (was 83)
Wickes Madison Grey Base Unit - 800mm,/p/331872,195
Wickes Orlando White Slab Wall Unit - 600mm,/p/122848,105
Wickes Ohio Navy Base Unit - 800mm,/p/276569,135 (was 150)
Wickes Madison Dark Grey Drawer Unit - 500mm,/p/304906,232
Wickes Ohio Dusky Pink 18mm Decor Base End,/p/308913,59
Wickes Ohio Stone Shaker Drawer Unit - 300mm,/p/307242,144 (was 160)
Wickes Ohio Porcelain Shaker Base Unit - 500mm,/p/308978,86 (was 99)
Wickes Ohio Stone Shaker Wall Unit - 500mm,/p/307252,82 (was 91)
Wickes Madison White Narrow Wall Unit - 600mm,/p/122737,95
Wickes Ohio Reed Green - 2.6m Plinth,/p/308961,34
Wickes Ohio Stone Base Unit - 800mm,/p/307270,135 (was 150)
Wickes Ohio Reed Green Shaker Base Unit - 800mm,/p/308952,135 (was 150)
Wickes Madison Gloss Stone 18mm Decor Base End,/p/309225,61
Wickes Ohio Navy Shaker Built Under Oven Unit - 600mm,/p/249941,70 (was 81)
Wickes Madison Gloss Stone - 2.6m Plinth,/p/309228,36
Wickes Orlando Grey Slab Base Unit - 600mm,/p/122964,114
Wickes Ohio Reed Green 18mm Decor Wall End,/p/308960,44
Wickes Orlando Reed Green Plinth - 2.6m,/p/307411,36
Wickes Orlando Reed Green Corner Base Unit - 1000mm,/p/307371,185
Wickes Ohio Reed Green Shaker Corner Base Unit - 1000mm,/p/308920,193 (was 214)
Wickes Ohio Grey Shaker Wall Unit - 600mm,/p/307131,94 (was 104)
Wickes Ohio Forest Green Shaker Base Unit - 600mm,/p/309034,103 (was 114)
Wickes Orlando White Slab Wall Unit - 400mm,/p/122846,92
Wickes Ohio Sage Shaker Decorative Base Panel - 18mm,/p/307489,59
Wickes Orlando Grey Slab Corner Base Unit - 925mm,/p/122968,263
Wickes Orlando Reed Green Base Unit - 450mm,/p/307381,101
Wickes Madison Gloss Stone Base Unit - 600mm,/p/309211,123
Wickes Madison Dark Grey Base Unit - 500mm,/p/304907,114
Wickes Madison Marine Blue Base Unit - 1000mm,/p/331881,205
Wickes Orlando Reed Green Wall Unit - 600mm,/p/307398,105
Wickes Madison White Pull Out Base Unit - 150mm,/p/233386,145
Wickes Ohio Porcelain L-Shape Corner Wall Unit - 625mm,/p/308996,204 (was 227)
Wickes Ohio Stone Shaker Appliance Fascia - 600x731mm,/p/307255,25 (was 29)
Wickes Ohio Reed Green Shaker Base Unit - 600mm,/p/308944,103 (was 114)
Wickes Orlando Scandi Oak Slab Base Unit - 500mm,/p/309113,106
Wickes Orlando Reed Green Base Unit - 500mm,/p/307384,106
